a	a1
vọng	v OXNG6
vọp	v Op6
vọt	v Ot6
vỏ	v O3
vỏn	v On3
vỏng	v OXNG3
vố	v o5
vốc	v ok5
vối	v oj5
vốn	v on5
vống	v oNG5
vồ	v o2
vồi	v oj2
vồn	v on2
vồng	v oNG2
vổ	v o3
vổng	v oNG3
vỗ	v o4
vội	v oj6
vớ	v 75
với	v 7j5
vớt	v 7t5
vờ	v 72
vời	v 7j2
vờn	v 7n2
vở	v 73
vởn	v 7n3
vỡ	v 74
vợ	v 76
vợi	v 7j6
vợt	v 7t6
vụ	v u6
vục	v uk6
vụn	v un6
vụng	v uNG6
vụt	v ut6
vức	v Mk5
vứt	v Mt5
vừa	v M72
vừng	v MNG2
vửa	v M73
vửng	v MNG3
vữa	v M74
vững	v MNG4
vựa	v M76
vực	v Mk6
vựng	v MNG6
xa	s a1
xam	s am1
xan	s an1
xang	s aNG1
xanh	s EXNJ1
xao	s aw1
xay	s aXj1
xe	s E1
xem	s Em1
xen	s En1
xeo	s Ew1
xi	s i1
xia	s ie1
xim	s im1
xin	s in1
xinh	s iNJ1
xit	s it1
xiêm	s iem1
xiên	s ien1
xiêu	s iew1
xiếc	s iek5
xiết	s iet5
xiềng	s ieNG2
xiểm	s iem3
xiển	s ien3
xiểng	s ieNG3
xo	s O1
xoa	s wa1
xoan	s wan1
xoang	s waNG1
xoay	s waXj1
xoe	s wE1
xoen	s wEn1
xoi	s Oj1
xom	s Om1
xon	s On1
xong	s OXNG1
xoong	s ONG1
xoà	s wa2
xoài	s waj2
xoàm	s wam2
xoàn	s wan2
xoàng	s waNG2
xoành	s wEXNJ2
xoá	s wa5
xoác	s wak5
xoát	s wat5
xoáy	s waXj5
xoã	s wa4
xoèn	s wEn2
xoét	s wEt5
xoăn	s waXn1
xoạc	s wak6
xoạch	s wEXk6
xoạng	s waNG6
xoải	s waj3
xoảng	s waNG3
xoắn	s waXn5
xoẹt	s wEt6
xu	s u1
xua	s uo1
xui	s uj1
xum	s um1
xung	s uNG1
xuy	s wi1
xuya	s wie1
xuynh	s wiNJ1
xuyên	s wien1
xuyến	s wien5
xuyết	s wiet5
xuân	s w7Xn1
xuây	s w7Xj1
xuê	s we1
xuôi	s uoj1
xuýt	s wit5
xuất	s w7Xt5
xuẩn	s w7Xn3
xuề	s we2
xuềnh	s weNJ2
xuể	s we3
xuệch	s wek6
xuống	s uoNG5
xuồng	s uoNG2
xuổng	s uoNG3
xuỵt	s wit6
xà	s a2
xài	s aj2
xàm	s am2
xàng	s aNG2
xành	s EXNJ2
xào	s aw2
xàu	s aXw2
xá	s a5
xác	s ak5
xách	s EXk5
xái	s aj5
xám	s am5
xán	s an5
xáo	s aw5
xáp	s ap5
xát	s at5
xáy	s aXj5
xâm	s 7Xm1
xâu	s 7Xw1
xây	s 7Xj1
xã	s a4
xè	s E2
xèn	s En2
xèng	s ENG2
xèo	s Ew2
xé	s E5
xéc	s Ek5
xén	s En5
xéo	s Ew5
xép	s Ep5
xét	s Et5
xê	s e1
xên	s en1
xênh	s eNJ1
xêu	s ew1
xì	s i2
xình	s iNJ2
xìu	s iw2
xí	s i5
xía	s ie5
xích	s ik5
xính	s iNJ5
xít	s it5
xíu	s iw5
xòa	s wa2
xòe	s wE2
xòm	s Om2
xòng	s OXNG2
xó	s O5
xóa	s wa5
xóc	s OXk5
xói	s Oj5
xóm	s Om5
xón	s On5
xóp	s Op5
xót	s Ot5
xô	s o1
xôi	s oj1
xôm	s om1
xôn	s on1
xông	s oNG1
xõm	s Om4
xõng	s OXNG4
xù	s u2
xùi	s uj2
xùm	s um2
xùng	s uNG2
xùy	s wi2
xú	s u5
xúc	s uk5
xúi	s uj5
xúm	s um5
xúng	s uNG5
xúp	s up5
xút	s ut5
xúy	s wi5
xăm	s aXm1
xăn	s aXn1
xăng	s aXNG1
xĩnh	s iNJ4
xũ	s u4
xơ	s 71
xơi	s 7j1
xơm	s 7m1
xơn	s 7n1
xưa	s M71
xưng	s MNG1
xương	s M7NG1
xước	s M7k5
xướng	s M7NG5
xười	s M7j2
xưởng	s M7NG3
xược	s M7k6
xạ	s a6
xạc	s ak6
xạch	s EXk6
xạo	s aw6
xạp	s ap6
xạu	s aXw6
xả	s a3
xảm	s am3
xảnh	s EXNJ3
xảo	s aw3
xảu	s aXw3
xảy	s aXj3
xấc	s 7Xk5
xấp	s 7Xp5
xấu	s 7Xw5
xầm	s 7Xm2
xẩm	s 7Xm3
xẩn	s 7Xn3
xẩu	s 7Xw3
xẩy	s 7Xj3
xập	s 7Xp6
xắc	s aXk5
xắm	s aXm5
xắn	s aXn5
xắp	s aXp5
xắt	s aXt5
xằng	s aXNG2
xẵng	s aXNG4
xẹc	s Ek6
xẹo	s Ew6
xẹp	s Ep6
xẹt	s Et6
xẻ	s E3
xẻn	s En3
xẻng	s ENG3
xẻo	s Ew3
xẽo	s Ew4
xế	s e5
xếch	s ek5
xếp	s ep5
xềm	s em2
xềnh	s eNJ2
xều	s ew2
xể	s e3
xệ	s e6
xệch	s ek6
xệp	s ep6
xệu	s ew6
xỉ	s i3
xỉa	s ie3
xỉn	s in3
xỉnh	s iNJ3
xỉu	s iw3
xị	s i6
xịch	s ik6
xịt	s it6
xịu	s iw6
xọ	s O6
xọc	s OXk6
xọe	s wE6
xọp	s Op6
xỏ	s O3
xỏa	s wa3
xỏng	s OXNG3
xố	s o5
xốc	s ok5
xối	s oj5
xốn	s on5
xống	s oNG5
xốp	s op5
xốt	s ot5
xồ	s o2
xồm	s om2
xồn	s on2
xồng	s oNG2
xổ	s o3
xổi	s oj3
xổm	s om3
xổng	s oNG3
xộc	s ok6
xộn	s on6
xộp	s op6
xớ	s 75
xới	s 7j5
xớp	s 7p5
xớt	s 7t5
xờ	s 72
xờm	s 7m2
xở	s 73
xởi	s 7j3
xởn	s 7n3
xỡ	s 74
xợp	s 7p6
xợt	s 7t6
xụ	s u6
xục	s uk6
xụi	s uj6
xụp	s up6
xủng	s uNG3
xứ	s M5
xức	s Mk5
xứng	s MNG5
xừ	s M2
xử	s M3
xửa	s M73
xửng	s MNG3
xực	s Mk6
y	i1
yên	ien1
yêng	ieNG1
yêu	iew1
yếm	iem5
yến	ien5
yết	iet5
yếu	iew5
yểm	iem3
yểng	ieNG3
yểu	iew3
à	a2
ào	aw2
á	a5
ác	ak5
ách	EXk5
ái	aj5
ám	am5
án	an5
áng	aNG5
ánh	EXNJ5
áo	aw5
áp	ap5
át	at5
áy	aXj5
âm	7Xm1
ân	7Xn1
âu	7Xw1
ã	a4
è	E2
èo	Ew2
é	E5
éc	Ek5
ém	Em5
én	En5
éo	Ew5
ép	Ep5
ét	Et5
ê	e1
êm	em1
êu	ew1
ì	i2
ìn	in2
ình	iNJ2
í	i5
ích	ik5
ín	in5
ít	it5
ò	O2
òa	wa2
òi	Oj2
òm	Om2
òng	OXNG2
ó	O5
óc	OXk5
óe	wE5
ói	Oj5
óng	OXNG5
óp	Op5
ót	Ot5
ô	o1
ôi	oj1
ôm	om1
ôn	on1
ông	oNG1
õng	OXNG4
ù	u2
ùa	uo2
ùm	um2
ùn	un2
ùng	uNG2
ú	u5
úa	uo5
úi	uj5
úm	um5
úng	uNG5
úp	up5
út	ut5
úy	wi5
ý	i5
ăm	aXm1
ăn	aXn1
ăng	aXNG1
đa	d a1
đai	d aj1
đam	d am1
đan	d an1
đang	d aNG1
đanh	d EXNJ1
đao	d aw1
đau	d aXw1
đay	d aXj1
đe	d E1
đem	d Em1
đen	d En1
đeo	d Ew1
đi	d i1
đin	d in1
đinh	d iNJ1
điên	d ien1
điêu	d iew1
điếc	d iek5
điếm	d iem5
điếng	d ieNG5
điếu	d iew5
điền	d ien2
điều	d iew2
điểm	d iem3
điển	d ien3
điểu	d iew3
điệm	d iem6
điện	d ien6
điệp	d iep6
điệu	d iew6
đo	d O1
đoan	d wan1
đoi	d Oj1
đom	d Om1
đon	d On1
đong	d OXNG1
đoài	d waj2
đoàn	d wan2
đoàng	d waNG2
đoành	d wEXNJ2
đoá	d wa5
đoái	d waj5
đoán	d wan5
đoãng	d waNG4
đoạn	d wan6
đoạt	d wat6
đoản	d wan3
đoảng	d waNG3
đu	d u1
đua	d uo1
đui	d uj1
đum	d um1
đun	d un1
đung	d uNG1
đuôi	d uoj1
đuốc	d uok5
đuối	d uoj5
đuổi	d uoj3
đuỗn	d uon4
đuột	d uot6
đà	d a2
đài	d aj2
đàm	d am2
đàn	d an2
đàng	d aNG2
đành	d EXNJ2
đào	d aw2
đày	d aXj2
đá	d a5
đác	d ak5
đách	d EXk5
đái	d aj5
đám	d am5
đán	d an5
đáng	d aNG5
đánh	d EXNJ5
đáo	d aw5
đáp	d ap5
đát	d at5
đáy	d aXj5
đâm	d 7Xm1
đâu	d 7Xw1
đây	d 7Xj1
đã	d a4
đãi	d aj4
đãng	d aNG4
đãy	d aXj4
đè	d E2
đèm	d Em2
đèn	d En2
đèo	d Ew2
đéc	d Ek5
đéo	d Ew5
đét	d Et5
đê	d e1
đêm	d em1
đên	d en1
đênh	d eNJ1
đêu	d ew1
đì	d i2
đìa	d ie2
đình	d iNJ2
đìu	d iw2
đía	d ie5
đích	d ik5
đính	d iNJ5
đít	d it5
đò	d O2
đòi	d Oj2
đòm	d Om2
đòn	d On2
đòng	d OXNG2
đó	d O5
đóc	d OXk5
đói	d Oj5
đóm	d Om5
đón	d On5
đóng	d OXNG5
đót	d Ot5
đô	d o1
đôi	d oj1
đôm	d om1
đông	d oNG1
đõ	d O4
đù	d u2
đùa	d uo2
đùi	d uj2
đùm	d um2
đùn	d un2
đùng	d uNG2
đú	d u5
đúc	d uk5
đúm	d um5
đún	d un5
đúng	d uNG5
đúp	d up5
đút	d ut5
đăm	d aXm1
đăng	d aXNG1
đĩ	d i4
đĩa	d ie4
đĩnh	d iNJ4
đũa	d uo4
đũng	d uNG4
đơ	d 71
đơm	d 7m1
đơn	d 7n1
đưa	d M71
đưng	d MNG1
đương	d M7NG1
đước	d M7k5
đười	d M7j2
đườn	d M7n2
đường	d M7NG2
đưỡn	d M7n4
được	d M7k6
đượm	d M7m6
đạc	d ak6
đạch	d EXk6
đại	d aj6
đạm	d am6
đạn	d an6
đạo	d aw6
đạp	d ap6
đạt	d at6
đả	d a3
đảm	d am3
đản	d an3
đảng	d aNG3
đảo	d aw3
đảy	d aXj3
đấm	d 7Xm5
đấng	d 7XNG5
đất	d 7Xt5
đấu	d 7Xw5
đấy	d 7Xj5
đầm	d 7Xm2
đần	d 7Xn2
đầu	d 7Xw2
đầy	d 7Xj2
đẩu	d 7Xw3
đẩy	d 7Xj3
đẫm	d 7Xm4
đẫn	d 7Xn4
đẫy	d 7Xj4
đậm	d 7Xm6
đận	d 7Xn6
đập	d 7Xp6
đật	d 7Xt6
đậu	d 7Xw6
đậy	d 7Xj6
đắc	d aXk5
đắm	d aXm5
đắn	d aXn5
đắng	d aXNG5
đắp	d aXp5
đắt	d aXt5
đằm	d aXm2
đằn	d aXn2
đằng	d aXNG2
đẳng	d aXNG3
đẵm	d aXm4
đẵn	d aXn4
đẵng	d aXNG4
đặc	d aXk6
đặn	d aXn6
đặng	d aXNG6
đặt	d aXt6
đẹn	d En6
đẹp	d Ep6
đẹt	d Et6
đẻ	d E3
đẽ	d E4
đẽo	d Ew4
đế	d e5
đếch	d ek5
đếm	d em5
đến	d en5
đề	d e2
đềm	d em2
đền	d en2
đềnh	d eNJ2
đều	d ew2
để	d e3
đểnh	d eNJ3
đểu	d ew3
đễ	d e4
đễnh	d eNJ4
đệ	d e6
đệm	d em6
đệp	d ep6
đỉa	d ie3
đỉnh	d iNJ3
địa	d ie6
địch	d ik6
định	d iNJ6
địt	d it6
địu	d iw6
đọ	d O6
đọa	d wa6
đọc	d OXk6
đọi	d Oj6
đọn	d On6
đọng	d OXNG6
đọp	d Op6
đọt	d Ot6
đỏ	d O3
đỏi	d Oj3
đỏm	d Om3
đố	d o5
đốc	d ok5
đối	d oj5
đốm	d om5
đốn	d on5
đống	d oNG5
đốp	d op5
đốt	d ot5
đồ	d o2
đồi	d oj2
đồm	d om2
đồn	d on2
đồng	d oNG2
đổ	d o3
đổi	d oj3
đổng	d oNG3
đỗ	d o4
đỗi	d oj4
độ	d o6
độc	d ok6
đội	d oj6
độn	d on6
động	d oNG6
độp	d op6
đột	d ot6
đớ	d 75
đới	d 7j5
đớn	d 7n5
đớp	d 7p5
đớt	d 7t5
đờ	d 72
đời	d 7j2
đờm	d 7m2
đờn	d 7n2
đởm	d 7m3
đởn	d 7n3
đỡ	d 74
đợ	d 76
đợi	d 7j6
đợp	d 7p6
đợt	d 7t6
đụ	d u6
đục	d uk6
đụn	d un6
đụng	d uNG6
đụp	d up6
đụt	d ut6
đủ	d u3
đủi	d uj3
đủng	d uNG3
đứ	d M5
đứa	d M75
đức	d Mk5
đứng	d MNG5
đứt	d Mt5
đừ	d M2
đừa	d M72
đừng	d MNG2
đử	d M3
đực	d Mk6
đựng	d MNG6
ĩ	i4
ĩnh	iNJ4
ơ	71
ơi	7j1
ơn	7n1
ư	M1
ưa	M71
ưng	MNG1
ưu	Mw1
ươi	M7j1
ươm	M7m1
ươn	M7n1
ương	M7NG1
ước	M7k5
ướm	M7m5
ướp	M7p5
ướt	M7t5
ườn	M7n2
ưỡn	M7n4
ạ	a6
ạch	EXk6
ạnh	EXNJ6
ạo	aw6
ạt	at6
ả	a3
ải	aj3
ảm	am3
ảng	aNG3
ảnh	EXNJ3
ảo	aw3
ấm	7Xm5
ấn	7Xn5
ấp	7Xp5
ất	7Xt5
ấu	7Xw5
ấy	7Xj5
ầm	7Xm2
ầy	7Xj2
ẩm	7Xm3
ẩn	7Xn3
ẩu	7Xw3
ẩy	7Xj3
ậc	7Xk6
ậm	7Xm6
ập	7Xp6
ắc	aXk5
ắng	aXNG5
ắp	aXp5
ắt	aXt5
ằng	aXNG2
ẳng	aXNG3
ẵm	aXm4
ặc	aXk6
ặp	aXp6
ẹ	E6
ẹo	Ew6
ẹp	Ep6
ẹt	Et6
ẻn	En3
ẻo	Ew3
ẽo	Ew4
ế	e5
ếch	ek5
ếm	em5
ếp	ep5
ề	e2
ềnh	eNJ2
ễnh	eNJ4
ệ	e6
ệch	ek6
ện	en6
ệnh	eNJ6
ỉ	i3
ỉa	ie3
ỉm	im3
ỉn	in3
ỉu	iw3
ị	i6
ịch	ik6
ịt	it6
ọ	O6
ọc	OXk6
ọe	wE6
ọi	Oj6
ọp	Op6
ọt	Ot6
ỏi	Oj3
ỏm	Om3
ỏn	On3
ỏng	OXNG3
ố	o5
ốc	ok5
ối	oj5
ốm	om5
ống	oNG5
ốp	op5
ốt	ot5
ồ	o2
ồm	om2
ồn	on2
ồng	oNG2
ổ	o3
ổi	oj3
ổn	on3
ổng	oNG3
ộ	o6
ộc	ok6
ộn	on6
ộp	op6
ớ	75
ới	7j5
ớm	7m5
ớn	7n5
ớt	7t5
ờ	72
ờn	7n2
ở	73
ỡm	7m4
ợ	76
ợt	7t6
ụ	u6
ụa	uo6
ục	uk6
ụp	up6
ụt	ut6
ủ	u3
ủa	uo3
ủi	uj3
ủn	un3
ủng	uNG3
ủy	wi3
ứ	M5
ứa	M75
ức	Mk5
ứng	MNG5
ừ	M2
ừng	MNG2
ửng	MNG3
ựa	M76
ực	Mk6
ỷ	i3
